,Article,Wort,Word
620,der,"Zucker, -",sugar
621,der,"Zweig, -e",twig
622,der,"Übersetzer,-, die Übersetzerin, -nen",translator
623,die,"Abhängigkeit, -en","addiction, dependence"
624,die,"Abteilung, -en",department
625,die,"Abwicklung, -en","liquidation, phaseout"
626,die,"Ader , -n",artery
627,die,"Ahnung, -","suspicion, hunch"
628,die,"Alge, -n",algae
629,die,"Ampel, -n",stop light
630,die,"Anbetung, x","worship, adoration"
631,die,"Anfangsgründe, -X",elements (wie in chemie)
632,die,"Angst, -¨e",axiety
633,die,"Anhöhe, -n","bank, hill"
634,die,"Anklage, -n","charge, - legal"
635,die,"Ankunft, -¨e",arrival
636,die,"Apfelsine, -n","orange, orange tree"
637,die,"Apotheke, -n","chemist, drug store"
638,die,"Aprikose, -n",apricot
639,die,"Armlehne, -n",armrest
640,die,"Art, -en","kind, sort, type"
641,die,"Atmung, -X","respiration, breathing"
642,die,"Auflage, -n","edition, imprint"
643,die,"Augenbraue, -n",eyebrows
644,die,"Ausnahme, -n",exception
645,die,"Autobahn, -en","autobahn, freeway"
646,die,"Backspacetaste, -n",backspace key
647,die,"Backware, -n",baked goods
648,die,"Badesachen, -",bathing things
649,die,"Badewanne, -n",bathtub
650,die,"Banane, -n",banana
651,die,"Bank, -en",bank
652,die,"Bank, -¨e",bench
653,die,"Barmherzigkeit, x",mercy
654,die,"Beere, -n",berry
655,die,"Begeisterung, -X",enthusiasm
656,die,"Bekannte, der Bekannter",acquaintance
657,die,"Besatzung, -en",crew (ins Gesamt)
658,die,"Besichtigung, -en",sight seeing tour
659,die,"Besprechung, -en",discussion
660,die,"Bezirksstadt, -¨e",district capital
661,die,"Birne, -n",pear
662,die,"Bohne, -n",beans
663,die,"Bohrmaschine, -n",drill
664,die,"Bordkarte, -n",bording card
665,die,"Boutique, -n",boutique
666,die,"Bremse, -n",brake
667,die,"Brezel, -n",pretzel
668,die,"Brust, -¨e","chest, breasts (pl)"
669,die,"Brücke, -n",bridge
670,die,"Buchhaltung, -x",finance office
671,die,"Buchhandlung, -en",bookstore
672,die,"Bushaltestelle, -n",bus stop
673,die,"Butter, -",butter
674,die,"Decke, -n","ceiling, bed cover"
675,die,"Digitalkamera, -s",digital camera
676,die,"Ding, -e",thing
677,die,"Disko(thek), -en",dance club
678,die,"Dose, -n",tin of something
679,die,"Dreiheit, -X",trinity
680,die,"Droge, -n",drugs
681,die,"Drogerie, -en","chemist, apotheke, drugstore"
682,die,"Dunkelheit, -en",darkness
683,die,"Durchwahl,-¨e",telephone extension
684,die,"Ecke, -n",corner
685,die,"Ehre, x",honor
686,die,"Eifersucht, x",jealousy
687,die,Einkünfte (pl),earnings
688,die,"Einsamkeit, X",loneliness
689,die,"Empfindlichkeit, x",sensitivity
690,die,"Erbse, -n",pea
691,die,"Erde, -n",earth
692,die,"Erhebung, -en","rise, ascension to power"
693,die,"Erkältung, -en","cold, cough"
694,die,"Ermutigung, -en",encouragement
695,die,"Ernährung, -X",nutrition
696,die,"Errettung, -en",salvation
697,die,"Erschöpfung, -X","exhaustion, fatigue"
698,die,"Erwachsene, -elle, -r","adult, grown up"
699,die,"Fachkraft, -¨e","skilled workers, professional workers"
700,die,"Fahrkarte, -n","train ticket, bus ticket, etc."
701,die,"Farbenpalette, -n",painters palette
702,die,"Feile, -n",file
703,die,"Fensterbank, -¨e",window sill
704,die,"Ferien, (pl)",holidays
705,die,"Fernbedienung, -en",TV remote
706,die,"Ferse, -n",heel
707,die,"Festplatte, -n",computer hard drive
708,die,"Fischsemmel, n","fish bread, fish sandwich"
709,die,"Flotte, -n","fleet, armada"
710,die,"Flucht, -en","escape, getaway"
711,die,"Fluggesellschaft, -¨e",airline
712,die,"Flut, -en",flood
713,die,"Form, -en",form
714,die,"Fotokopie, -en",photocopy
715,die,"Frage, -n",question
716,die,"Freizügigkeit, x","liberality, permissiveness"
717,die,"Freude, -n",joy
718,die,"Frucht, -e",fruit
719,die,"Frucht, -¨e",fruit
720,die,"Fußgängerzone, -n",pedestrianized zone
721,die,"Gabel, -n",fork
722,die,"Gans, -¨e",goose
723,die,"Garantie, -n",guarantee
724,die,"Garderobe, -n",wardrobe
725,die,"Gardine, -n","drapes, curtains"
726,die,"Gebrauchsanweisung, -en",instruction manual
727,die,"Gefühllosigkeit, -x","callousness, insensitivity"
728,die,"Geige, -n",violin
729,die,"Gelegenheit, -",opportunity
730,die,"Gerste, -n",barley
731,die,"Geschichte, -n","history, story"
732,die,"Geschwister, (pl)",brothers and sisters
733,die,"Geselligkeit, X",sociability
734,die,"Glühlampe, -n",light bulb
735,die,"Gottheit, -en","deity, Godhead"
736,die,"Grippe, -n","flu, sickness"
737,die,"Grube, -n","pit, ditch"
738,die,"Größe, -n","size, format"
739,die,"Gurgel, -n",throat
740,die,"Gurke, -n",cucumber
741,die,"Gymnastik, -x",exercises
742,die,"Halbpension, die Vollpension","room and board, full or half"
743,die,"Hand, -¨e",hand
744,die,"Harke, -n",rake
745,die,"Hauptspeise, -n",main meal
746,die,"Hausschuhe, -n","house shoes, slippers"
747,die,"Haut, -¨e",skin
748,die,"Heiligamesse, -n","holy mass, church service"
749,die,"Heimat, -en",home
750,die,"Heizung, -en",heating
751,die,"Hochzeit, -en",wedding
752,die,"Honigmelone, -n",honeydew melon
753,die,"Hurerei, -en",prostitution
754,die,"Höhe, -n",height
755,die,"Informationswirtschaft, -en",information economy
756,die,"Insel, -n",island
757,die,"Jacke, -n",jacket
758,die,"Jalousie, -n",window blinds
759,die,"Kachel, -n",tile
760,die,"Kanone, -n",cannon
761,die,"Karotte, -n",carrot
762,die,"Kartoffel, -n",potato
763,die,"Kelter, -n",winepress
764,die,"Kerze, -n",candle
765,die,"Kette, -n",chain
766,die,"Kirsche, -n",cherry
767,die,"Kiste, -n",wine case
768,die,"Klappe, -n","flap, fig. trap, mouth"
769,die,"Kneipe, -n",pub
770,die,"Knoblauchzehe, -n",garlic clove
771,die,"Kokonuss, -e",coconut
772,die,"Kombination, -en",combination
773,die,"Konferenz, -en",conference
774,die,"Konfession, -en",denomination
775,die,"Kosten, -",costs
776,die,"Krabbe, -n",shrimp
777,die,"Krankmeldung, -en",doctor's excuse
778,die,"Krawatte, -n",necktie
779,die,"Kreide, -n",chalk
780,die,"Kreuzung, -en",intersection
781,die,"Kriminalität, x",crime rate
782,die,"Kugel, -n",ball
783,die,"Kusine, -n, der Cousin, -",cousin
784,die,"Kälte, -n","the cold, i.e. cold weather"
785,die,"Kühltasche, -n","cooler, cold bag"
786,die,"Kühnheit, -x",boldness
787,die,"Lampe, -n","lamp, light"
788,die,"Lanze, -n",lance
789,die,"Lebenshaltung, x",cost of living
790,die,"Lebensphilosophie, -n",life philosophy
791,die,"Leichtathletik, -x",track and field
792,die,"Leiter, -n",ladder
793,die,"Leitung, -en","leading, routing"
794,die,"Limonade, -n",limonade
795,die,"Lippe, -n",lips
796,die,"List, x","cunning, deceit"
797,die,"Lust, -¨e","desire, pleasure, joy"
798,die,"Lücke, -n","gap, hole"
799,die,"Mahlzeit, -en",mealtime
800,die,"Mannschaft, -en",sports team
801,die,"Marketingabteilung, -en",the marketing department
802,die,"Marmelade, -n",jam
803,die,"Maschine, -n","airplane, machine"
804,die,"Mauer, -n",wall
805,die,"Medizin, -n",medicine
806,die,Meeresfrüchte (pl),seafood
807,die,"Meile, -n",mile
808,die,"Meinung, -en","view, opinion"
809,die,"Metzgerei, -",butcher shop
810,die,"Milch, -",milk
811,die,"Mitternacht, -",midnight
812,die,"Möhre, -n",carrot
813,die,"Möwe, -n",seagull
814,die,"Mühe, (pl)","trouble, pains"
815,die,"Münze, -n",cap
816,die,"Nachspeise, -n",dessert
817,die,"Nacht, -¨e",night
818,die,"Nadel, -n",needle
819,die,"Nase, -n",nose
820,die,"Neffe, -n",nephew
821,die,"Nektarine, -n",nectarine
822,die,"Nichte, -n",niece
823,die,"Niederlassung, -en",settlement
824,die,"Not, -¨e","need, poverty"
825,die,"Nähe, -",proximity
826,die,"Olive, -n",olive
827,die,"Ortschaft, -en",locality
828,die,"Packung, -en",package or packet
829,die,"Pantoffel, -n",house slippers
830,die,"Pastete, -n",meat pie
831,die,"Personalabteilung, -en",personnel department
832,die,"Pest, -en",pestilence
833,die,Pfadfinder,boy scouts
834,die,"Pfanne, -n",pan
835,die,"Pfeffermühle, -n",pepper grinder
836,die,"Pflaume, -n",plum
837,die,"Pfote, -n",paws
838,die,"Pfüzte, -n",puddle
839,die,"Pistazie, -n",pistachio
840,die,"Pizza, -s",pizza
841,die,"Platte, -n","platter, serving dish"
842,die,"Pommesfrites, -",french fries
843,die,"Portion, -en",portion
844,die,"Post, -en",post office
845,die,"Praline, -n",chocolate with cream or alcohol
846,die,"Praxis, Praxen",doctorÂ´s practice
847,die,"Produktionsabteilung, -en",production department
848,die,"Prägung, -en","imprint, minting, coinage"
849,die,"Puppe, -n",doll
850,die,"Pute, -n",turkey
851,die,"Pyramide, -n",pyramid
852,die,"Quittung, -en","bill from car repair, etc"
853,die,"Realität, -e",reality
854,die,"Rechtsabteilung, -en",legal department
855,die,"Regel, -n",rules
856,die,"Reihe, -n","row, line"
857,die,"Reihenfolge, -n","order, sequence"
858,die,"Reinigung, -en",dry cleaners
859,die,"Reise, -n","trip, journey"
860,die,Reiseunterlagen (pl),travel documents
861,die,"Reklamation, -en","complaint, query"
862,die,"Reklame, -n",advertising
863,die,"Rettung, -en",rescue
864,die,"Richtung, -en",direction
865,die,"Robbe, -n",a seal
866,die,"Routine, x",routine
867,die,"Ruhe, x","quiet, calm, peace"
868,die,Rösti (pl),"fried grate potatoes, i.e. hash"
869,die,"Rübe, -n",turnip
870,die,"Rückflugticket, -s",a round trip ticket
871,die,"Rüstung, -en","arms, weapons"
872,die,"Sache, -n","thing, things"
873,die,"Sahne, -",cream
874,die,"Salbe, -n","salve, ointment"
875,die,"Salbung, -en",anointing
876,die,"Sandgrube, -n",sand pit
877,die,"Schachtel, -n",small box
878,die,"Schale, -n",small bowl
879,die,"Schar, -en",band of people
880,die,"Schlange, -n","snake, serpent, line of people"
881,die,"Schminke, -n",makeup
882,die,"Schnecke, -n",snail
883,die,"Schokolade, -n",chocolate
884,die,"Scholle, -n",(ice) floe
885,die,"Schorle, -n",spritzer
886,die,"Schublade, -n",drawer
887,die,"Schule, -n",school
888,die,"Schulter, -n",shoulder
889,die,"Schwelle, -n","threshhold - psych, phys, door threshhold"
890,die,"Schwerathletik, -x",contact sports
891,die,"Schwester, -n",sister
892,die,"Serviette, -n",napkin
893,die,"Siebensachen, (pl)",belongings
894,die,"Socke, -n",socks
895,die,"Sorge, -n",worry
896,die,"Soße, -n",sauce
897,die,"Spalte, -n",column
898,die,"Spielzeugkiste, -n",toybox
899,die,"Spinne, -n",spider
900,die,"Sportskanone, -n",sports star
901,die,"Sprechstundenhilfe, -n",receptionist
902,die,"Spritze, -n","syringe, shot"
903,die,"Spur, -en","track, trace, sign"
904,die,"Stange, -n","pole, bar"
905,die,"Startbahn, -en, die Landebahn, -en",runway
906,die,"Station, -en","station, stop"
907,die,"Stimme, -n","voice, part"
908,die,"Stirn, -en",forehead
909,die,"Strafe, -n","penalty, punishment"
910,die,"Strahlung, -en",radiation
911,die,"Straßenbahn, -en","tram, streetcar"
912,die,"Streichholzschachtel, -n",matchbox
913,die,"Stäbchen, -",chopsticks
914,die,"Suppenkelle, -n",soup ladle
915,die,"Säge, -n",a saw
916,die,"Säuregurke, -n",pickles
917,die,"Sünde, -",sin
918,die,"Süße, -",sweets
919,die,"Süßigkeit, -en",sweets
920,die,"Tablette, -n","pills, tablets"
921,die,"Tafel, -n",bar of something
922,die,"Tante, -n",aunt
923,die,"Tasche, -n","pocket, bag"
924,die,"Tassen, -n","coffee, tea cup"
925,die,"Taucherbrille, -n",diving goggles
926,die,"Tenne, -n",threshing floor
927,die,"Theologie, -n",theology
928,die,"Tiefkühltruhe, -n","refrigerator chest - horizontal, deep freeze"
929,die,"Tonne, -n",barrel
930,die,"Torte, -n",fruit pie
931,die,"Treppe, -n",stairs
932,die,"Träne, -n",tear
933,die,"Tüte, -n","bag, cone"
934,die,"Umfrage, -n",job Interview
935,die,"Ungelegenheiten, (pl)",inconvenience (un-opportunity)
936,die,"Universität, -en",university
937,die,Unsrigen (pl),our people
938,die,"Unterkunft, -e",accommodation
939,die,"Unterlage, -n",documents
940,die,"Untertasse, -n",saucer
941,die,"Urgroßmutter, -n",grandmother
942,die,"Verabredung, -en","arrangement, private appointment"
943,die,"Verführung, -en","seduction, temptation"
944,die,"Vergangenheit, -x","past tense, past time"
945,die,"Vermittlung, -en","mediation, intercession"
946,die,"Versammlung, -en",assembly
947,die,"Versichertenkarte, -n",insurance card
948,die,"Versicherung, -en",insurance
949,die,"Versklavung, -en",enslavement
950,die,"Versorgung, -en","care, provision"
951,die,"Verspottung, -en",mockery
952,die,"Verspätung, -en",delay
953,die,"Verstörung, -en",destruction
954,die,"Verwaltung, -en",administration (not in schools)
955,die,"Verzeihung, -en",forgiveness
956,die,"Videothek, -en",video store
957,die,"Vorschrift, -en","commandment, directive"
958,die,"Vorsicht, -","caution, care"
959,die,"Vorspeise, -n",appetizer
960,die,"Vorstellung, -en","idea, picture"
961,die,"Vorwahl, -en",preliminary election
962,die,"Waffe, -n",weapon
963,die,"Wahl, -en",choice
964,die,"Wahrscheinlichkeit, -en","probability, likelihood"
965,die,"Wand, -¨e",wall
966,die,"Wange, -n",cheeks
967,die,"Warnung, -en",warning
968,die,"Wassermelone, -n",watermelon
969,die,"Weinbergschnecke, -n",snail
970,die,"Weise, -n","way, manner, fashion"
971,die,"Weisheit, -",wisdom
972,die,"Weite, -n",width
973,die,Wieder belebungsversuche,"rescussitation, CPR"
974,die,Wiedervereinigung,unification day
975,die,"Wimper, -n",eyelash
976,die,"Windmühle, -n",windmill
977,die,"Windpocken, -",chickenpox
978,die,"Witwe, -n",widow
979,die,"Woche, -n",week
980,die,"Wohnung, -en","apartment, house"
981,die,"Wolle, -n",wool
982,die,"Wunde, -n",wound
983,die,"Wurst, -¨e",sausage
984,die,"Wurzel, -n","root, square root"
985,die,"Wäsche, -n",laundry
986,die,"Wäscheleine, -n",clothesline
987,die,"Würde, -n",dignity
988,die,"Zacke, -n der Zacken, -","point, jagged peak"
989,die,"Zahnbürste, -n",toothbrush
990,die,"Zauberei, -en",wizardry
991,die,"Zehe, -n",toes
992,die,"Zitrone, -n",citrus
993,die,"Zulieferfirma, -en","ancilliary company, supplier"
994,die,"Zunge, -n",tounge
995,die,"Zuversicht, x","assurance, confidence"
996,die,"Zwiebeln, -",onion
997,die,"Überraschung, -en",a surprise
998,die,"Übersetzung, -en",translation
999,die,"Übertretung, -en","trespass, violation"
1000,das,"Umfeld, -er",enviroment
1001,das ,"Schiff, -e","ship, boat"
1002,der ,"Genus, Genera (Pl)",gender
1003,das ,"Lebensmittel, =",food
1004,das ,"Ersatzteil, -e",replacement piece
1005,das,"Geschenkpapier,-e",gift wrap paper
1006,das,"Klebeband, -¨er",adhesive tape
1007,das,"Wesentliche, =",essencial
1008,das,"Meerschweinchen, =",guinea pig
1009,das,"Tischtuch, -¨er",table cloth
1010,das ,"Schwimmbad, -¨er",swimming pool
1011,das ,"Zelt, -e",tent
1012,das ,"Reh, -e",deer
1013,das ,"Ende, -n",end
1014,das ,"Training, -s",training
1015,das ,"Museums, =",museum
1016,das,"Gleis, -e",tracks (rail)
1017,das ,"Ergebnis, -se",result
1018,das,"Heft, -e",notebook
1019,das ,"Dach, -¨er",roof
1020,das,"Nummernschild, -er",license plate
1021,das ,"Opfer, =",victim
1022,das,"Gehalt, -¨er","earnings, salary"
1023,das,"Ziel, -e","destination, goal"
1024,das,"Schild, -e",sign
1025,das,"Mehl, =",flour
1026,das,"Beispiel, -e",example
1027,das ,"Ereignis, -se",event
1028,der,"Kurs, -e",course
1029,der,"Kasten, -¨n",box
1030,der,"Drucker, =",printer
1031,der ,"Teilnehmer, =",participant
1032,der,"Reifen, =",tire
1033,der ,"Bauer, -n, Bauerin",farmer
1034,der,"Malwurf, - ¨e",mole
1035,der,Ventilator,fan
1036,der,"Ausdruck, -e",expression
1037,der,"Raser, = ",crazy driver
1038,der ,"Sinn, -e","sense, meaning"
1039,der ,"Verwantungsleiter, -in",manager
1040,der ,"Metzger, =, Metzgerin, -nen",butcher
1041,der,"Vorschlag, - ¨e","suggestion, proposal"
1042,der,"Stau, -s",traffic
1043,der,"Gefallen, =",favor
1044,der ,"Sieg, -e","victory, win"
1045,der,"Diebstahl, -¨e","burglary, theft"
1046,der ,"Aussuchturm, -¨e",looking tower
1047,der,"Fernseher, =",TV
1048,der ,"Geldbeutel, =","wallet, purse"
1049,der,"Täter, Täterin, -nen",delincuent
1050,der,"Zeuge, Zeugin, -nen",witness
1051,der,"Erfolg, -e",success
1052,der ,"Berater, Beraterin, -nen","consultant, advisor"
1053,der,"Unterschied, -e",difference
1054,der ,"Schreiner, Schreinerin, -nen",carpenter
1055,der ,"Mensch, -en",people
1056,der,"Bereich, -e","sector, area"
1057,der ,"Betrieb, =","firm, business"
1058,der ,"Schwerverletze, -n",seriously injured
1059,der,"Auftritt, -e","performance, appearance"
1060,der ,"Ehrgeiz, -e",ambition
1061,der,"Witz, -e",joke
1062,der,"Umsatz, -e","sales, dealings"
1063,der,"Wille, =",desire
1064,der,"Antrag, -¨e","application, proposal"
1065,der ,"Rauch, =",smoke
1066,der,"Brand, -¨e",fire
1067,der,"Einsatz, -es",effort
1068,der,"Besen, =",broom
1069,der,"Abschnitt, -e",section
1070,die,"Vergiftung, -en",intoxication
1071,die ,"Forderung, -en",demand
1072,die ,"Panik, =",panic
1073,die,"Bereich, -e","category, area"
1074,die ,"Unterlage, -n",document
1075,die,"Besprechung, -en",interview
1076,die,"Ware, -n","article, goods"
1077,die,"Mütze, -n",cap
1078,die,"Blockflote, -n",flute
1079,die,"Box, -en",box
1080,die ,"Geschenkkarte, -n",birthday card
1081,die,"Abwechslung, -en",variety
1082,die ,"Anstrengung, -en","effort, struggle, stress"
1083,die ,"Waage, -n",scale
1084,die,"Gewöhnheit, -en","habit, custom"
1085,die,"Vorspeise, -n",entree
1086,die ,"Wüste, -n",desert
1087,die,"Hitze, =",heat
1088,die,"Veranstaltung, -en","presentation, activity"
1089,die ,"Einnahme, -n","revenue, earnings"
1090,die,"Gerechtigkeit, =","equality, justice"
1091,die ,"Autoscheibe, -n",car window
1092,die,"Abteilung, -en","department, division"
1093,die ,"Behörde, -n",authority
1094,die,"Teilnehme, -n","participation, attendance"
1095,die ,"Zusage, -n","consent, promise"
1096,die,"Gießkanne, -n",watering can
1097,die,"Schubkarre, -n",wheelbarrow
1098,der,"Einkaufswagen,  = ",trolley
1099,die,"Pflicht, -en","duty, obligation"
1100,die,"Impfung, -en","vaccination, jab"
1101,die,"Wahrheit, =",truth
1102,die,"Lüge, -n",lie
1103,die ,"Höflichkeit, =",politeness
1104,die,"Toleranz, =",tolerance
1105,die,"Bildung, =",education
1106,die,"Unternehmungslust, =","adventurousness, active"
1107,die,"Offenheit, =",open mindedness
1108,die,"Ehrlichkeit, =",honesty
1109,die,"Zuverlässigkeit, =",reliability
1110,die,"Hilfsbereitschaft, =",helpfulness
1111,die,"Großzügigkeit, =",generosity
1112,die ,"Eigenschaft, -e","quality, characteristic"
1113,die ,"Umsetzung, -en","realization, transfer"
1114,die ,"Niederlage, -n",defeat
1115,die,"Hartnäckigkeit, =",persistence
1116,die,"Leidenschaft, -en","passion, emotion"
1117,die,"Aufforderung, -en","request, demand"
1118,die,"Absicht, -en",intention
1119,die,"Notwendigkeit, -en",necessity
1120,die,"Fähigkeit, =","ability, capacity"
1121,der,"Auftrag, -¨e","mission, assignment"
1122,das ,"Stockwer, -e",floor
1123,das ,"Seniorenheim, =",retirement home
1124,das ,"Schreiben, =","letter, writing"
1125,das,"Gehirn, -e",brain
1126,das,"Unternehmen, -s","company, enterprise"
1127,das,"Vergnügen, X","fun, enjoyment"
1128,das,"Lesen, X","read, reading"
1129,das,"Geräusch, -e","sound, noise"
1130,das,"Gelingen, X",success
1131,das,"Verhungern, X",starvation
1132,das,Kurzzeitgedächtnis,short term memory
1133,das,Langzeitgedächtnis,long term memory
1134,das,"Gerät, -e","machine, equipment"
1135,das ,"Schach, X",chess
1136,der ,"Vertrag, ¨e","contract, agreement"
1137,der,"Weg, -e","way, route"
1138,der,"Aufenthalt, -e",stay
1139,der ,"Sauerstoff, =",oxygen
1140,der,"Anstoß, -¨e","impulse, impetus"
1141,der ,"Vertrieb, -e",distribution
1142,der ,"Eindruck, -¨e",impression
1143,der,"Anschlag, -¨e",attack
1144,der,"Verkehr, X",traffic
1145,der,"Gipfel, =","summit, top"
1146,der,"Streit, X","argument, controversy"
1147,der,"Angeklagte, -n","culprit, accussed"
1148,der,"Fuller, =","pen, fountain pen"
1149,der,"Bluttdruck, =",blood pressure
1150,der,"Verband, - ¨e","union, swathe"
1151,der,"Schmerz, -en","pain, hurt"
1152,der,"Ausfall, - ¨e","deficit, loss"
1153,der,"Einfluss (auf), -¨e","influence, effect / impact"
1154,der,"Strafzettel, =",parking ticket
1155,der,"Durchsnitt, -e",average
1156,der,"Geschmack, X",flavor
1157,der,"Liebhaber, -in (f)",lover
1158,der,"Spitzenreiter, -in",leader / come on top
1159,der,"Aufzug, - ¨e",elevator
1160,der,"Rucktritt, -e","retirement, withdraw"
1161,der,"Klimawandel, =",climate change
1162,der,"Wetterbericht, -e",weather report
1163,der,"Ratschlag, -¨e",advice
1164,der,"Schlaf, X",sleep
1165,der,"Überfall, - ¨e","aggression, assault"
1166,der,"Bescheid, -e","answer, communication, information"
1167,die,"Sehnsucht, - ¨e","desire, aspiration"
1168,die,"Nachfrage, -n","demand, need"
1169,die,"Oper, -n",opera
1170,die ,"Lieferung, -en",supply
1171,die,"Rückkehr, =",return
1172,die,"Gewöhnung, =",habituation
1173,die,"Stimmung, -en","atmosphere, mood"
1174,die,"Laune, -n",mood
1175,die,"Aufzählung, -en","enumeration, list"
1176,die,"Gegend, -en","area, region"
1177,die,"Überschrift, -en",title
1178,die,"Wirkung, -en",effect
1179,die,"Abwehrkraft, -e",body's defence
1180,die,"Besonderheit, -en","characteristic, feature"
1181,die,"Abmachung, -en","agreement, convention"
1182,die,"Leine, -n","line, coord"
1183,die,"Schnur, -¨e",cord
1184,die,"Windel, -n",diaper
1185,die,"Küchenschabe, -n",cockroach
1186,die,"Auswahl, =","selection, choice"
1187,die,"Lawine, -n",landslide
1188,die,"Taubheit, X",numbness
1189,die,"Regierung, -en","government, administration"
1190,die,"Tat, -en","act, action"
1191,die,"Selbstverteidigung, X",self-defence
1192,die,"Union, -en",union
1193,die,"Einigung, -en",agreement
1194,die,"Eindammung, -en",containment
1195,die,"Verteilung, -en","distribution, allocation"
1196,die,"Glatze, -n",bald head
1197,die,"Anwaltskanzlen, -en",law firm
1198,die,"Überweisung, -en","transferral, remittance"
1199,die,"Kapsel, -n",capsule
1200,die,"Tablette, -n",pill
1201,die,"Verzeihung, -en",forgiveness
1202,die,"Wolke, -n",cloud
1203,die,"Frechheit, X","insolence, impertinence"
1204,die,"Zutat, -en",ingredients
1205,die,"Fahne, -n",flag
1206,die,"Zeder, -n",cedar
1207,die,"Vorhersage, -n",forecast
1208,die,"Leistungsfähigkeit, -en","efficiency, performance"
1209,die ,"Menge, -n","amount, quantity"
1210,die,"Geschwindigkeit, -en",speed
1211,die ,"Geselligkeit, X",sociability
1212,die ,"Wahrnehmung, -en",perception
